application_id,discipline,papers_5y,citations_5y,h_index,research_years,prior_grants,institution_tier,overseas_experience,age_group,novelty_score,feasibility_score,frontier_score,methodology_score,expected_impact,budget_reasonableness,project_risk,data_availability,ethics_compliance,team_size,interdisciplinarity,collaboration_strength,platform_support,true_funding_probability,funded
APP-0078,工程技术,3,154,4,2,0,双一流/国家级平台,短期交流,青年,74.35,79.01,82.72,47.36,74.54,93.07,40.63,65.11,93.66,7,74.73,100.0,38.69,0.49045,0
APP-0079,工程技术,12,147,11,8,0,双一流/国家级平台,短期交流,中青年,72.62,57.51,53.62,77.37,51.6,64.48,39.12,82.95,70.09,4,100.0,37.65,57.82,0.19075,0
APP-0080,管理科学,14,328,9,3,0,双一流/国家级平台,无,青年,57.62,77.03,66.07,76.19,80.7,77.09,32.32,57.66,75.15,6,36.33,62.77,67.87,0.05839,0
APP-0081,工程技术,7,94,12,10,2,双一流/国家级平台,无,中青年,46.8,100.0,59.79,81.7,37.39,80.12,39.55,69.51,79.55,5,63.65,83.82,72.61,0.23987,1
APP-0082,信息科学,11,201,14,10,1,普通高校/机构,无,中青年,58.97,72.56,59.58,82.43,64.05,79.26,58.64,70.41,76.38,7,59.19,49.34,62.89,0.06824,0
APP-0083,管理科学,10,231,22,28,4,普通高校/机构,短期交流,资深,82.74,70.5,68.53,79.26,36.47,70.43,43.79,69.42,87.51,2,73.67,72.15,54.62,0.41229,0
APP-0084,生命科学,14,406,23,22,2,普通高校/机构,短期交流,资深,53.19,68.82,66.3,79.8,58.15,90.42,26.49,86.04,86.64,3,65.4,56.93,41.31,0.06437,0
APP-0085,生命科学,6,170,7,6,0,省部级重点单位,短期交流,中青年,60.56,76.69,83.78,76.93,61.4,48.93,65.79,100.0,92.51,4,63.15,68.99,76.8,0.3417,1
APP-0086,生命科学,10,251,15,14,0,双一流/国家级平台,无,中青年,77.43,47.45,67.84,78.93,56.42,60.87,47.24,68.35,87.02,3,71.58,81.45,74.93,0.19469,0
APP-0087,管理科学,10,104,20,13,2,普通高校/机构,无,中青年,58.64,93.82,76.33,45.05,58.0,81.96,65.36,77.06,80.85,6,53.86,54.29,80.78,0.03581,0
APP-0088,工程技术,17,432,26,34,2,省部级重点单位,无,资深,64.94,83.74,70.59,54.7,81.54,63.44,45.59,57.96,78.6,6,45.68,88.94,45.67,0.17552,0
APP-0089,生命科学,5,172,9,7,2,普通高校/机构,无,中青年,73.06,60.98,89.06,52.58,100.0,62.74,38.56,85.48,86.55,10,65.06,68.34,66.07,0.7706,0
APP-0090,工程技术,17,526,21,26,3,普通高校/机构,长期经历,资深,75.67,70.44,63.46,85.51,71.43,68.39,15.14,62.24,80.1,8,45.64,97.07,52.23,0.77776,1
APP-0091,生命科学,4,64,8,4,0,普通高校/机构,长期经历,青年,58.39,62.2,63.51,58.82,52.24,64.57,27.4,100.0,82.47,11,53.49,47.02,64.79,0.05492,0
APP-0092,管理科学,10,381,17,12,1,普通高校/机构,长期经历,中青年,73.83,74.19,79.18,60.9,67.03,81.65,32.55,44.94,87.1,5,27.18,50.44,100.0,0.21594,0
APP-0093,信息科学,12,104,15,12,3,双一流/国家级平台,长期经历,中青年,77.19,70.86,63.26,69.09,60.33,84.85,55.62,100.0,83.39,1,57.12,57.82,79.36,0.48421,1
APP-0094,信息科学,8,132,7,3,0,普通高校/机构,长期经历,青年,55.45,73.2,75.48,52.83,80.23,75.06,47.82,84.87,85.09,5,37.43,40.17,51.15,0.07879,0
APP-0095,信息科学,5,100,12,5,1,双一流/国家级平台,无,青年,74.79,55.6,100.0,73.95,70.61,86.66,29.49,53.17,74.09,5,55.34,78.67,59.71,0.38316,1
APP-0096,工程技术,10,92,18,16,1,省部级重点单位,无,资深,62.68,63.26,53.32,41.3,40.76,57.36,0.0,100.0,95.5,8,34.28,60.63,57.84,0.04503,0
APP-0097,信息科学,5,99,12,7,1,普通高校/机构,无,中青年,73.61,86.04,90.98,53.69,83.57,74.91,59.25,56.07,70.93,2,55.61,41.37,66.11,0.31959,1
APP-0098,生命科学,3,97,8,2,1,普通高校/机构,无,青年,81.4,62.53,60.62,71.58,81.47,90.18,76.03,65.29,86.39,6,73.99,47.19,38.09,0.09088,0
APP-0099,生命科学,8,53,1,4,1,双一流/国家级平台,无,青年,69.71,32.99,88.07,52.86,89.92,85.72,69.29,50.55,77.14,4,44.08,46.34,69.5,0.05558,0
APP-0100,交叉学科,8,135,10,7,1,普通高校/机构,无,中青年,83.87,67.89,78.29,85.89,57.74,91.24,38.06,67.8,92.82,9,37.33,78.63,28.0,0.67246,1
APP-0101,交叉学科,8,56,10,11,0,双一流/国家级平台,长期经历,中青年,82.28,100.0,77.0,69.6,70.82,66.92,80.94,69.21,90.84,6,71.63,70.23,35.56,0.65965,0
APP-0102,管理科学,23,1674,27,32,4,普通高校/机构,无,资深,83.8,81.88,65.74,83.72,47.04,85.01,74.52,82.45,81.98,6,74.27,59.61,98.03,0.17263,0
APP-0103,信息科学,15,344,29,26,2,省部级重点单位,长期经历,资深,77.24,61.82,64.24,73.65,65.18,68.88,61.22,100.0,97.55,3,64.48,55.42,57.87,0.18266,0
APP-0104,交叉学科,11,247,14,13,3,双一流/国家级平台,短期交流,中青年,86.31,69.29,57.17,68.84,72.35,81.14,47.86,62.31,80.13,6,46.69,57.7,88.25,0.61266,1
APP-0105,管理科学,10,244,17,9,0,普通高校/机构,短期交流,中青年,77.01,79.52,68.09,56.04,55.82,89.73,47.35,28.71,90.82,6,43.41,94.06,50.23,0.30259,0
APP-0106,管理科学,2,98,4,6,1,普通高校/机构,短期交流,青年,50.33,45.41,65.24,81.08,71.48,64.47,86.63,79.73,74.74,13,49.37,57.79,28.27,0.0112,0
APP-0107,信息科学,15,567,22,27,5,双一流/国家级平台,无,资深,61.7,58.02,70.87,74.74,68.69,51.73,83.55,61.75,86.05,11,54.82,77.44,46.14,0.0454,0
APP-0108,信息科学,4,37,8,2,0,普通高校/机构,短期交流,青年,69.25,75.58,46.84,96.1,58.8,96.17,49.03,97.28,72.68,6,21.49,56.07,100.0,0.11427,0
APP-0109,生命科学,14,661,6,2,1,普通高校/机构,无,青年,70.87,92.32,68.34,79.77,88.36,79.86,53.83,69.48,82.19,5,36.34,92.28,40.02,0.65389,0
APP-0110,交叉学科,8,391,26,28,4,普通高校/机构,长期经历,资深,76.65,63.85,86.94,63.83,62.25,72.72,6.1,58.61,81.49,7,81.02,40.05,94.2,0.71882,1
APP-0111,信息科学,23,425,30,32,4,普通高校/机构,无,资深,61.51,91.94,82.16,72.76,68.13,72.06,74.08,54.81,90.79,8,60.15,76.53,69.87,0.20653,0
APP-0112,生命科学,6,128,5,1,0,省部级重点单位,无,青年,98.11,59.44,68.35,74.49,42.53,48.85,77.91,79.34,75.29,5,80.54,48.33,66.04,0.02735,0
APP-0113,信息科学,6,18,14,15,3,省部级重点单位,短期交流,中青年,70.67,22.6,100.0,84.12,74.31,76.5,56.9,65.87,100.0,8,76.31,100.0,51.27,0.76878,1
APP-0114,工程技术,8,78,14,12,1,普通高校/机构,短期交流,中青年,71.9,80.41,59.34,86.18,58.37,67.63,37.95,92.02,68.18,5,49.75,74.55,48.68,0.35361,1
APP-0115,生命科学,13,370,11,5,1,双一流/国家级平台,无,青年,63.28,77.57,66.7,66.89,81.32,74.63,51.33,66.84,84.33,8,50.05,31.33,73.59,0.2222,0
APP-0116,交叉学科,7,340,13,4,2,普通高校/机构,短期交流,青年,58.96,80.31,46.24,53.2,45.02,74.36,79.32,91.22,84.88,5,75.33,45.23,86.43,0.03985,0
APP-0117,管理科学,5,193,6,2,0,普通高校/机构,无,青年,70.36,79.76,61.95,44.9,72.89,33.47,57.24,49.3,87.38,6,71.17,74.33,67.34,0.03618,0
APP-0118,管理科学,5,114,11,11,2,省部级重点单位,短期交流,中青年,72.36,72.68,94.82,54.19,31.09,79.88,100.0,43.92,76.85,5,75.75,73.84,76.57,0.02294,1
APP-0119,信息科学,5,420,14,16,1,双一流/国家级平台,无,中青年,70.87,66.38,62.52,61.31,75.85,76.27,66.23,82.44,84.42,9,55.73,72.5,56.76,0.22111,0
APP-0120,工程技术,14,542,21,15,3,普通高校/机构,无,中青年,93.52,66.91,45.08,88.56,63.2,77.88,38.32,63.03,76.36,6,58.85,64.82,100.0,0.40923,1
APP-0121,工程技术,6,107,11,6,0,普通高校/机构,无,青年,70.36,63.55,81.08,88.75,72.39,71.8,41.78,66.05,100.0,3,50.89,56.26,68.06,0.28,1
APP-0122,工程技术,16,1313,24,33,2,省部级重点单位,无,资深,70.88,64.39,73.84,81.48,56.4,74.59,35.8,54.82,75.65,5,54.93,81.56,98.56,0.05574,1
APP-0123,生命科学,15,147,10,13,4,双一流/国家级平台,无,中青年,82.6,44.65,80.46,85.0,50.81,76.07,77.55,53.72,80.52,4,42.29,46.45,47.59,0.01381,0
APP-0124,信息科学,11,88,17,20,2,普通高校/机构,无,资深,69.78,53.0,63.54,59.8,59.05,77.29,73.07,79.54,75.37,12,54.5,62.96,63.23,0.06256,0
APP-0125,生命科学,10,160,8,2,1,普通高校/机构,无,青年,79.01,67.71,52.89,49.3,69.07,79.71,84.33,69.72,74.0,6,52.8,50.84,82.22,0.01362,0
APP-0126,工程技术,7,95,12,10,0,省部级重点单位,无,中青年,55.37,38.63,65.25,55.92,75.23,77.39,43.35,54.1,67.99,6,46.83,49.4,66.41,0.0343,0
APP-0127,信息科学,13,208,19,16,0,普通高校/机构,无,资深,55.48,41.89,76.32,42.55,70.86,96.2,59.36,81.86,88.72,7,71.82,53.74,72.8,0.10305,0
APP-0128,生命科学,6,232,6,3,0,普通高校/机构,无,青年,73.59,65.32,66.92,54.52,51.01,65.29,75.61,87.62,75.27,6,27.8,48.77,47.38,0.00978,0
APP-0129,生命科学,5,117,13,6,1,普通高校/机构,短期交流,青年,68.99,68.2,73.82,62.42,95.4,69.5,81.0,68.37,74.03,5,62.75,71.89,57.11,0.08124,0
APP-0130,工程技术,7,155,9,3,1,普通高校/机构,长期经历,青年,61.48,65.61,59.95,71.17,71.33,94.32,25.39,85.05,72.37,5,37.57,35.43,49.12,0.1101,1
APP-0131,生命科学,9,199,10,7,1,省部级重点单位,无,青年,73.58,36.68,74.38,70.76,56.04,72.14,62.4,54.97,85.04,6,39.04,69.76,62.55,0.01911,0
APP-0132,交叉学科,4,23,14,8,3,双一流/国家级平台,长期经历,中青年,74.72,91.73,67.95,60.03,72.79,85.18,26.14,78.66,82.22,5,40.76,50.58,60.8,0.73864,1
APP-0133,工程技术,6,52,2,3,0,省部级重点单位,无,青年,62.77,49.89,57.41,76.4,70.1,75.63,37.96,72.43,82.26,5,65.42,62.55,55.01,0.04598,0
APP-0134,信息科学,10,163,8,4,1,省部级重点单位,无,青年,65.26,58.55,70.1,60.28,63.19,71.27,23.86,58.13,74.39,4,10.85,59.0,74.75,0.04563,0
APP-0135,工程技术,8,101,15,13,1,双一流/国家级平台,短期交流,中青年,74.82,52.34,62.2,69.13,61.32,85.83,37.58,100.0,86.35,5,59.37,53.01,45.89,0.3318,1
APP-0136,生命科学,4,88,8,2,0,普通高校/机构,短期交流,青年,58.73,88.19,77.26,54.57,81.76,80.22,21.01,73.49,75.38,6,56.91,83.84,27.46,0.18529,0
APP-0137,交叉学科,7,389,1,1,1,普通高校/机构,短期交流,青年,64.15,75.9,81.1,83.15,93.65,55.59,26.36,61.14,82.7,4,36.6,55.32,54.28,0.08608,0
APP-0138,工程技术,2,63,8,7,1,双一流/国家级平台,无,中青年,78.94,63.37,75.52,69.27,33.42,76.08,31.91,70.29,80.6,6,59.64,74.66,100.0,0.12946,0
APP-0139,管理科学,8,74,10,5,1,普通高校/机构,短期交流,青年,71.69,62.39,43.48,77.82,85.69,62.06,56.06,56.95,65.12,7,31.73,74.89,72.67,0.13732,0
APP-0140,生命科学,9,115,7,1,1,省部级重点单位,无,青年,65.8,72.51,53.53,53.19,66.32,89.25,50.68,52.65,100.0,3,55.12,57.09,49.61,0.05746,0
APP-0141,工程技术,7,474,11,3,0,省部级重点单位,无,青年,60.26,52.55,58.45,71.27,69.79,95.04,17.12,63.26,87.75,5,30.98,39.36,71.57,0.13008,0
APP-0142,工程技术,8,471,12,7,1,普通高校/机构,无,青年,58.83,75.33,56.06,76.44,87.63,96.49,100.0,64.27,83.8,11,97.01,46.12,61.72,0.14769,1
APP-0143,交叉学科,13,389,18,17,1,省部级重点单位,长期经历,中青年,70.29,62.32,59.86,42.43,23.52,78.29,40.23,57.94,85.38,4,73.23,85.02,70.59,0.27304,0
APP-0144,工程技术,7,57,8,1,1,普通高校/机构,无,青年,98.34,77.27,81.88,84.19,79.04,68.46,38.31,88.77,100.0,4,60.93,70.87,78.97,0.48945,1
APP-0145,工程技术,8,212,7,3,1,普通高校/机构,短期交流,青年,79.36,76.8,78.48,52.76,86.52,77.86,61.65,58.51,93.37,2,36.9,64.5,67.29,0.16784,0
APP-0146,信息科学,12,316,17,16,1,省部级重点单位,短期交流,资深,54.67,61.69,61.64,71.74,54.98,62.72,49.91,56.02,85.49,5,50.49,51.79,66.05,0.05476,0
