application_id,discipline,predicted_funding_probability,ai_recommendation,confidence,project_risk,fairness_audit_share,routing,routing_reason,true_label,true_funding_probability
APP-0091,生命科学,0.06821,建议不资助,0.86358,27.4,0.06718,fast_track,高置信且解释风险较低，可进入快速复核,0,0.05492
APP-0092,管理科学,0.22083,建议不资助,0.55833,32.55,0.08092,regular_review,进入常规人工复核,0,0.21594
APP-0093,信息科学,0.4596,建议不资助,0.0808,55.62,0.11758,expert_review,低置信、高风险或存在偏差审计信号，建议专家重点审查,1,0.48421
APP-0094,信息科学,0.04501,建议不资助,0.90997,47.82,0.07687,fast_track,高置信且解释风险较低，可进入快速复核,0,0.07879
APP-0095,信息科学,0.42045,建议不资助,0.1591,29.49,0.08732,expert_review,低置信、高风险或存在偏差审计信号，建议专家重点审查,1,0.38316
APP-0096,工程技术,0.02996,建议不资助,0.94007,0.0,0.02256,fast_track,高置信且解释风险较低，可进入快速复核,0,0.04503
APP-0097,信息科学,0.14497,建议不资助,0.71007,59.25,0.06819,fast_track,高置信且解释风险较低，可进入快速复核,1,0.31959
APP-0098,生命科学,0.11421,建议不资助,0.77158,76.03,0.07409,regular_review,进入常规人工复核,0,0.09088
APP-0099,生命科学,0.01322,建议不资助,0.97356,69.29,0.05073,regular_review,进入常规人工复核,0,0.05558
APP-0100,交叉学科,0.51693,建议资助,0.03387,38.06,0.06851,expert_review,低置信、高风险或存在偏差审计信号，建议专家重点审查,1,0.67246
APP-0101,交叉学科,0.44476,建议不资助,0.11048,80.94,0.09152,expert_review,低置信、高风险或存在偏差审计信号，建议专家重点审查,0,0.65965
APP-0102,管理科学,0.21535,建议不资助,0.56931,74.52,0.03741,regular_review,进入常规人工复核,0,0.17263
APP-0103,信息科学,0.26466,建议不资助,0.47069,61.22,0.06023,regular_review,进入常规人工复核,0,0.18266
APP-0104,交叉学科,0.62117,建议资助,0.24233,47.86,0.1036,expert_review,低置信、高风险或存在偏差审计信号，建议专家重点审查,1,0.61266
APP-0105,管理科学,0.27801,建议不资助,0.44399,47.35,0.08361,regular_review,进入常规人工复核,0,0.30259
APP-0106,管理科学,0.02251,建议不资助,0.95499,86.63,0.04846,expert_review,低置信、高风险或存在偏差审计信号，建议专家重点审查,0,0.0112
APP-0107,信息科学,0.12297,建议不资助,0.75406,83.55,0.065,expert_review,低置信、高风险或存在偏差审计信号，建议专家重点审查,0,0.0454
APP-0108,信息科学,0.11638,建议不资助,0.76724,49.03,0.05407,fast_track,高置信且解释风险较低，可进入快速复核,0,0.11427
APP-0109,生命科学,0.41489,建议不资助,0.17022,53.83,0.06315,expert_review,低置信、高风险或存在偏差审计信号，建议专家重点审查,0,0.65389
APP-0110,交叉学科,0.49227,建议不资助,0.01545,6.1,0.06306,expert_review,低置信、高风险或存在偏差审计信号，建议专家重点审查,1,0.71882
APP-0111,信息科学,0.14222,建议不资助,0.71555,74.08,0.04251,regular_review,进入常规人工复核,0,0.20653
APP-0112,生命科学,0.10263,建议不资助,0.79474,77.91,0.0292,regular_review,进入常规人工复核,0,0.02735
APP-0113,信息科学,0.35145,建议不资助,0.29709,56.9,0.03518,expert_review,低置信、高风险或存在偏差审计信号，建议专家重点审查,1,0.76878
APP-0114,工程技术,0.37548,建议不资助,0.24903,37.95,0.08885,expert_review,低置信、高风险或存在偏差审计信号，建议专家重点审查,1,0.35361
APP-0115,生命科学,0.19248,建议不资助,0.61504,51.33,0.11887,regular_review,进入常规人工复核,0,0.2222
APP-0116,交叉学科,0.03696,建议不资助,0.92608,79.32,0.04818,regular_review,进入常规人工复核,0,0.03985
APP-0117,管理科学,0.04398,建议不资助,0.91204,57.24,0.05237,fast_track,高置信且解释风险较低，可进入快速复核,0,0.03618
APP-0118,管理科学,0.15803,建议不资助,0.68394,100.0,0.04423,expert_review,低置信、高风险或存在偏差审计信号，建议专家重点审查,1,0.02294
APP-0119,信息科学,0.21687,建议不资助,0.56625,66.23,0.14517,regular_review,进入常规人工复核,0,0.22111
APP-0120,工程技术,0.72017,建议资助,0.44035,38.32,0.05828,regular_review,进入常规人工复核,1,0.40923
APP-0121,工程技术,0.32504,建议不资助,0.34992,41.78,0.07709,expert_review,低置信、高风险或存在偏差审计信号，建议专家重点审查,1,0.28
APP-0122,工程技术,0.46736,建议不资助,0.06527,35.8,0.03002,expert_review,低置信、高风险或存在偏差审计信号，建议专家重点审查,1,0.05574
APP-0123,生命科学,0.06905,建议不资助,0.8619,77.55,0.06475,regular_review,进入常规人工复核,0,0.01381
APP-0124,信息科学,0.07173,建议不资助,0.85655,73.07,0.07125,regular_review,进入常规人工复核,0,0.06256
APP-0125,生命科学,0.05174,建议不资助,0.89651,84.33,0.05997,expert_review,低置信、高风险或存在偏差审计信号，建议专家重点审查,0,0.01362
APP-0126,工程技术,0.05665,建议不资助,0.8867,43.35,0.04507,fast_track,高置信且解释风险较低，可进入快速复核,0,0.0343
APP-0127,信息科学,0.04588,建议不资助,0.90823,59.36,0.0427,fast_track,高置信且解释风险较低，可进入快速复核,0,0.10305
APP-0128,生命科学,0.01319,建议不资助,0.97362,75.61,0.05667,regular_review,进入常规人工复核,0,0.00978
APP-0129,生命科学,0.09504,建议不资助,0.80993,81.0,0.08368,expert_review,低置信、高风险或存在偏差审计信号，建议专家重点审查,0,0.08124
APP-0130,工程技术,0.11598,建议不资助,0.76805,25.39,0.08632,fast_track,高置信且解释风险较低，可进入快速复核,1,0.1101
APP-0131,生命科学,0.04412,建议不资助,0.91176,62.4,0.04963,regular_review,进入常规人工复核,0,0.01911
APP-0132,交叉学科,0.44123,建议不资助,0.11754,26.14,0.10003,expert_review,低置信、高风险或存在偏差审计信号，建议专家重点审查,1,0.73864
APP-0133,工程技术,0.0895,建议不资助,0.82099,37.96,0.04186,fast_track,高置信且解释风险较低，可进入快速复核,0,0.04598
APP-0134,信息科学,0.04384,建议不资助,0.91232,23.86,0.03601,fast_track,高置信且解释风险较低，可进入快速复核,0,0.04563
APP-0135,工程技术,0.38552,建议不资助,0.22896,37.58,0.1122,expert_review,低置信、高风险或存在偏差审计信号，建议专家重点审查,1,0.3318
APP-0136,生命科学,0.24931,建议不资助,0.50139,21.01,0.05328,regular_review,进入常规人工复核,0,0.18529
APP-0137,交叉学科,0.11546,建议不资助,0.76907,26.36,0.05421,fast_track,高置信且解释风险较低，可进入快速复核,0,0.08608
APP-0138,工程技术,0.29557,建议不资助,0.40886,31.91,0.09545,regular_review,进入常规人工复核,0,0.12946
APP-0139,管理科学,0.01641,建议不资助,0.96718,56.06,0.04728,fast_track,高置信且解释风险较低，可进入快速复核,0,0.13732
APP-0140,生命科学,0.05323,建议不资助,0.89354,50.68,0.05524,fast_track,高置信且解释风险较低，可进入快速复核,0,0.05746
APP-0141,工程技术,0.07015,建议不资助,0.8597,17.12,0.03885,fast_track,高置信且解释风险较低，可进入快速复核,0,0.13008
APP-0142,工程技术,0.41624,建议不资助,0.16752,100.0,0.04682,expert_review,低置信、高风险或存在偏差审计信号，建议专家重点审查,1,0.14769
APP-0143,交叉学科,0.10562,建议不资助,0.78877,40.23,0.04691,fast_track,高置信且解释风险较低，可进入快速复核,0,0.27304
APP-0144,工程技术,0.83698,建议资助,0.67397,38.31,0.04758,fast_track,高置信且解释风险较低，可进入快速复核,1,0.48945
APP-0145,工程技术,0.08079,建议不资助,0.83843,61.65,0.06675,regular_review,进入常规人工复核,0,0.16784
APP-0146,信息科学,0.04801,建议不资助,0.90399,49.91,0.04603,fast_track,高置信且解释风险较低，可进入快速复核,0,0.05476
APP-0147,信息科学,0.23963,建议不资助,0.52073,40.72,0.04075,regular_review,进入常规人工复核,0,0.23944
APP-0148,工程技术,0.19445,建议不资助,0.6111,57.81,0.04849,regular_review,进入常规人工复核,0,0.29122
APP-0149,信息科学,0.04002,建议不资助,0.91995,36.55,0.07869,fast_track,高置信且解释风险较低，可进入快速复核,0,0.07277
APP-0150,生命科学,0.54476,建议资助,0.08952,44.09,0.10792,expert_review,低置信、高风险或存在偏差审计信号，建议专家重点审查,1,0.47964
APP-0151,交叉学科,0.16888,建议不资助,0.66224,89.47,0.03709,expert_review,低置信、高风险或存在偏差审计信号，建议专家重点审查,0,0.03166
APP-0152,交叉学科,0.08644,建议不资助,0.82712,52.47,0.04556,fast_track,高置信且解释风险较低，可进入快速复核,0,0.18008
APP-0153,生命科学,0.10404,建议不资助,0.79192,62.28,0.07143,regular_review,进入常规人工复核,0,0.04049
APP-0154,工程技术,0.33333,建议不资助,0.33334,39.56,0.06898,expert_review,低置信、高风险或存在偏差审计信号，建议专家重点审查,0,0.21272
APP-0155,生命科学,0.28652,建议不资助,0.42697,58.69,0.09585,regular_review,进入常规人工复核,1,0.3962
APP-0156,工程技术,0.17574,建议不资助,0.64852,34.58,0.03607,regular_review,进入常规人工复核,0,0.43321
APP-0157,信息科学,0.57835,建议资助,0.1567,48.95,0.05567,expert_review,低置信、高风险或存在偏差审计信号，建议专家重点审查,1,0.38867
APP-0158,工程技术,0.4337,建议不资助,0.1326,55.41,0.09291,expert_review,低置信、高风险或存在偏差审计信号，建议专家重点审查,0,0.21255
APP-0159,管理科学,0.08676,建议不资助,0.82648,36.11,0.10028,fast_track,高置信且解释风险较低，可进入快速复核,0,0.20807
APP-0160,管理科学,0.62554,建议资助,0.25109,77.65,0.0431,expert_review,低置信、高风险或存在偏差审计信号，建议专家重点审查,1,0.54822
APP-0161,生命科学,0.55048,建议资助,0.10096,61.58,0.07473,expert_review,低置信、高风险或存在偏差审计信号，建议专家重点审查,1,0.35275
APP-0162,交叉学科,0.54194,建议资助,0.08387,4.15,0.04274,expert_review,低置信、高风险或存在偏差审计信号，建议专家重点审查,1,0.86482
APP-0163,信息科学,0.14088,建议不资助,0.71823,84.48,0.04392,expert_review,低置信、高风险或存在偏差审计信号，建议专家重点审查,0,0.1092
APP-0164,生命科学,0.1543,建议不资助,0.69139,69.58,0.0632,regular_review,进入常规人工复核,0,0.09258
APP-0165,工程技术,0.17769,建议不资助,0.64463,72.89,0.10358,regular_review,进入常规人工复核,0,0.07002
APP-0166,信息科学,0.34674,建议不资助,0.30652,46.58,0.11264,expert_review,低置信、高风险或存在偏差审计信号，建议专家重点审查,0,0.40558
APP-0167,交叉学科,0.68362,建议资助,0.36723,22.75,0.05,regular_review,进入常规人工复核,1,0.87321
APP-0168,管理科学,0.6968,建议资助,0.39359,36.83,0.05441,regular_review,进入常规人工复核,1,0.61293
APP-0169,信息科学,0.05392,建议不资助,0.89215,84.14,0.04995,expert_review,低置信、高风险或存在偏差审计信号，建议专家重点审查,0,0.06839
APP-0170,交叉学科,0.3035,建议不资助,0.39301,29.77,0.06697,regular_review,进入常规人工复核,0,0.45936
APP-0171,信息科学,0.40707,建议不资助,0.18586,23.26,0.03444,expert_review,低置信、高风险或存在偏差审计信号，建议专家重点审查,0,0.60471
APP-0172,工程技术,0.07168,建议不资助,0.85664,45.52,0.0326,fast_track,高置信且解释风险较低，可进入快速复核,0,0.08492
APP-0173,信息科学,0.08981,建议不资助,0.82038,22.3,0.04171,fast_track,高置信且解释风险较低，可进入快速复核,0,0.18453
APP-0174,交叉学科,0.08189,建议不资助,0.83623,60.66,0.07671,regular_review,进入常规人工复核,0,0.08478
APP-0175,生命科学,0.32877,建议不资助,0.34246,62.22,0.04975,expert_review,低置信、高风险或存在偏差审计信号，建议专家重点审查,1,0.45655
APP-0176,生命科学,0.0305,建议不资助,0.939,58.27,0.07756,fast_track,高置信且解释风险较低，可进入快速复核,0,0.126
APP-0177,信息科学,0.13615,建议不资助,0.7277,37.72,0.03969,fast_track,高置信且解释风险较低，可进入快速复核,0,0.11553
APP-0178,交叉学科,0.57275,建议资助,0.14551,60.12,0.04693,expert_review,低置信、高风险或存在偏差审计信号，建议专家重点审查,0,0.67669
APP-0179,交叉学科,0.03388,建议不资助,0.93224,100.0,0.05134,expert_review,低置信、高风险或存在偏差审计信号，建议专家重点审查,1,0.03577
APP-0180,管理科学,0.38067,建议不资助,0.23866,21.32,0.02182,expert_review,低置信、高风险或存在偏差审计信号，建议专家重点审查,1,0.41001
APP-0181,交叉学科,0.17126,建议不资助,0.65749,86.79,0.03465,expert_review,低置信、高风险或存在偏差审计信号，建议专家重点审查,1,0.19067
APP-0182,交叉学科,0.3651,建议不资助,0.26979,66.16,0.09238,expert_review,低置信、高风险或存在偏差审计信号，建议专家重点审查,0,0.20885
APP-0183,工程技术,0.13225,建议不资助,0.73551,47.89,0.05231,fast_track,高置信且解释风险较低，可进入快速复核,0,0.14529
APP-0184,信息科学,0.28485,建议不资助,0.4303,53.33,0.07762,regular_review,进入常规人工复核,0,0.27485
APP-0185,管理科学,0.11112,建议不资助,0.77777,57.13,0.03419,fast_track,高置信且解释风险较低，可进入快速复核,0,0.03369
APP-0186,工程技术,0.61251,建议资助,0.22502,30.47,0.06675,expert_review,低置信、高风险或存在偏差审计信号，建议专家重点审查,1,0.80716
APP-0187,信息科学,0.23362,建议不资助,0.53277,17.35,0.03852,regular_review,进入常规人工复核,0,0.31232
APP-0188,生命科学,0.15168,建议不资助,0.69664,68.13,0.06228,regular_review,进入常规人工复核,1,0.05581
APP-0189,管理科学,0.30663,建议不资助,0.38675,25.1,0.03529,regular_review,进入常规人工复核,0,0.18769
APP-0190,信息科学,0.41944,建议不资助,0.16113,28.14,0.08044,expert_review,低置信、高风险或存在偏差审计信号，建议专家重点审查,1,0.25345
APP-0191,交叉学科,0.46679,建议不资助,0.06642,45.09,0.04008,expert_review,低置信、高风险或存在偏差审计信号，建议专家重点审查,1,0.45198
APP-0192,信息科学,0.12505,建议不资助,0.7499,55.69,0.06315,fast_track,高置信且解释风险较低，可进入快速复核,0,0.09143
APP-0193,生命科学,0.5481,建议资助,0.09621,40.01,0.06052,expert_review,低置信、高风险或存在偏差审计信号，建议专家重点审查,1,0.65063
APP-0194,交叉学科,0.55266,建议资助,0.10532,44.1,0.02813,expert_review,低置信、高风险或存在偏差审计信号，建议专家重点审查,1,0.3908
APP-0195,生命科学,0.23917,建议不资助,0.52166,69.06,0.06376,regular_review,进入常规人工复核,0,0.34123
APP-0196,生命科学,0.47942,建议不资助,0.04115,56.42,0.03716,expert_review,低置信、高风险或存在偏差审计信号，建议专家重点审查,0,0.57337
APP-0197,工程技术,0.69821,建议资助,0.39642,34.03,0.06689,regular_review,进入常规人工复核,1,0.50319
APP-0198,交叉学科,0.51695,建议资助,0.03389,58.09,0.0473,expert_review,低置信、高风险或存在偏差审计信号，建议专家重点审查,0,0.50517
APP-0199,生命科学,0.49529,建议不资助,0.00943,51.17,0.10828,expert_review,低置信、高风险或存在偏差审计信号，建议专家重点审查,1,0.72187
APP-0200,信息科学,0.42342,建议不资助,0.15315,50.57,0.06975,expert_review,低置信、高风险或存在偏差审计信号，建议专家重点审查,1,0.39974
APP-0201,管理科学,0.36529,建议不资助,0.26943,58.87,0.06569,expert_review,低置信、高风险或存在偏差审计信号，建议专家重点审查,0,0.57473
APP-0202,交叉学科,0.07893,建议不资助,0.84215,47.25,0.06329,fast_track,高置信且解释风险较低，可进入快速复核,0,0.27188
APP-0203,工程技术,0.0587,建议不资助,0.8826,66.89,0.07304,regular_review,进入常规人工复核,0,0.05423
APP-0204,生命科学,0.14846,建议不资助,0.70307,21.43,0.05229,fast_track,高置信且解释风险较低，可进入快速复核,0,0.13602
APP-0205,生命科学,0.17149,建议不资助,0.65703,83.55,0.04017,expert_review,低置信、高风险或存在偏差审计信号，建议专家重点审查,0,0.16627
